trackid,numtrajpoints,lastupdatetime
17570401,0,2018-01-12 17:57:04.435312
17570402,0,2018-01-12 17:57:04.721829
17570500,0,2018-01-12 17:57:05.423498
17570501,0,2018-01-12 17:57:05.624573
17570600,0,2018-01-12 17:57:06.344122
17570601,0,2018-01-12 17:57:06.427498
17570701,0,2018-01-12 17:57:07.842831
17570700,0,2018-01-12 17:57:07.842831
17570801,0,2018-01-12 17:57:08.831126
17570803,0,2018-01-12 17:57:08.955812
17565100,9,2018-01-12 17:56:54.825107
17565401,0,2018-01-12 17:56:54.875008
17565600,0,2018-01-12 17:56:56.696356
17570802,0,2018-01-12 17:57:08.955812
17570804,0,2018-01-12 17:57:09.12906
17571100,1,2018-01-12 17:57:12.220193
17570800,1,2018-01-12 17:57:12.220193
17570400,1,2018-01-12 17:57:12.220193
17565900,33,2018-01-12 17:57:12.220193
17571201,0,2018-01-12 17:57:12.333601
17571200,0,2018-01-12 17:57:12.333601
17571202,0,2018-01-12 17:57:12.422474
17571203,0,2018-01-12 17:57:12.568051
17571204,0,2018-01-12 17:57:12.839751
17571300,0,2018-01-12 17:57:13.314807
17571302,0,2018-01-12 17:57:13.927145
17571301,0,2018-01-12 17:57:13.927145
17571401,0,2018-01-12 17:57:14.249823
17571400,0,2018-01-12 17:57:14.249823
17571402,0,2018-01-12 17:57:14.466113
17571403,0,2018-01-12 17:57:15.068508
17571500,0,2018-01-12 17:57:15.64064
17571501,0,2018-01-12 17:57:15.923561
17571600,0,2018-01-12 17:57:16.145794
17565400,14,2018-01-12 17:57:00.236944
17571602,0,2018-01-12 17:57:16.638243
17571601,0,2018-01-12 17:57:16.638243
17571700,0,2018-01-12 17:57:17.240115
17571701,0,2018-01-12 17:57:17.819307
17571703,0,2018-01-12 17:57:17.974987
17571702,0,2018-01-12 17:57:17.974987
17573401,0,2018-01-12 17:57:34.545102
17573402,0,2018-01-12 17:57:34.718996
17573500,0,2018-01-12 17:57:35.672592
17573501,0,2018-01-12 17:57:35.833648
17571800,0,2018-01-12 17:57:18.136314
17571900,0,2018-01-12 17:57:19.746203
17571903,0,2018-01-12 17:57:20.039209
17571902,0,2018-01-12 17:57:20.039209
17571901,0,2018-01-12 17:57:20.039209
17572000,0,2018-01-12 17:57:20.36834
17572001,0,2018-01-12 17:57:21.055399
17572200,0,2018-01-12 17:57:22.25466
17572201,0,2018-01-12 17:57:22.959745
17572301,0,2018-01-12 17:57:23.134496
17572300,0,2018-01-12 17:57:23.134496
17573600,0,2018-01-12 17:57:36.718062
17573700,0,2018-01-12 17:57:37.930282
17574601,0,2018-01-12 17:57:46.160072
17574600,0,2018-01-12 17:57:46.160072
17575901,0,2018-01-12 17:58:00.090335
17574900,10,2018-01-12 17:57:51.529351
17575900,6,2018-01-12 17:57:59.925195
17580600,63,2018-01-12 17:58:12.457201
17581201,0,2018-01-12 17:58:12.870428
17581801,0,2018-01-12 17:58:18.459061
17581501,0,2018-01-12 17:58:15.056007
17581500,0,2018-01-12 17:58:15.056007
17581800,72,2018-01-12 17:58:27.285234
17581802,13,2018-01-12 17:58:21.371024
17584800,0,2018-01-12 17:58:48.133259
17584900,0,2018-01-12 17:58:49.30966
17584901,0,2018-01-12 17:58:49.403752
17585000,0,2018-01-12 17:58:50.191733
17585001,0,2018-01-12 17:58:50.32751
17585002,0,2018-01-12 17:58:50.376351
17585003,0,2018-01-12 17:58:50.521413
17585004,0,2018-01-12 17:58:50.83957
17585005,0,2018-01-12 17:58:50.9092
17585100,0,2018-01-12 17:58:51.220143
17585101,0,2018-01-12 17:58:51.475428
17585102,0,2018-01-12 17:58:51.542996
17585104,0,2018-01-12 17:58:51.725358
17585103,0,2018-01-12 17:58:51.725358
17585200,0,2018-01-12 17:58:52.515635
17585201,0,2018-01-12 17:58:53.08762
17585400,0,2018-01-12 17:58:54.279543
17585401,0,2018-01-12 17:58:54.434441
17585600,0,2018-01-12 17:58:56.235436
17585700,0,2018-01-12 17:58:57.122354
17585701,0,2018-01-12 17:58:57.687346
